ID,Type,Name,District,Coords,Latitude,Longitude
164,PARK,AVCILAR SAHİL PARKI-1,AVCILAR,"40.97487611 , 28.74357104",40.97487611,28.74357104
165,PARK,AVCILAR SAHİL PARKI-2,AVCILAR,"40.97973608 , 28.75159621",40.97973608,28.75159621
166,PARK,BEYLİKDÜZÜ OSMANLI BAHÇESİ PARKI,BEYLİKDÜZÜ,"40.9961601100909 , 28.64489793777466",40.9961601100909,28.64489793777466
167,PARK,GÜRPINAR SAHİL PARKI (PİRİ REİS PARKI ),BEYLİKDÜZÜ,"40.99511146 , 28.59744430",40.99511146,28.59744430
168,PARK,BEYLİKDÜZÜ KADIN DAYANIŞMA VE KÜLTÜR PARKI,BEYLİKDÜZÜ,"40.98486700 , 28.66744459",40.98486700,28.66744459
169,PARK,BEYLİKDÜZZÜ KREŞ EĞİTİM YAPISI VE ÇOCUK OYUN PARKI,BEYLİKDÜZÜ,"40.99560947 , 28.62893879",40.99560947,28.62893879
170,PARK,AVCILAR SAADETDERE DEPO VE TERFİ MERKEZİ,ESENYURT,"41.00435845 , 28.69533017",41.00435845,28.69533017
171,PARK,KAVAKLIDERE YAŞAM VADİSİ 3.ETAP,BEYLİKDÜZÜ,"40.99220025 , 28.64333153",40.99220025,28.64333153
172,PARK,KAVAKLIDERE YAŞAM VADİSİ 4.ETAP,BEYLİKDÜZÜ,"40.97474246 , 28.64518762",40.97474246,28.64518762
173,PARK,KAVAKLIDERE YAŞAM VADİSİ 5.ETAP,BEYLİKDÜZÜ,"40.96304870 , 28.63345027",40.96304870,28.63345027
174,PARK,BEYLİKDÜZÜ SOSYAL TESİS ve SPOR KOMPLEKSİ (KALEKENT),BEYLİKDÜZÜ,"41.00154076 , 28.63648921",41.00154076,28.63648921
175,PARK,KÜÇÜKÇEKMECE GÖLÜ SAHİL PARKI,AVCILAR,"41.00067975 , 28.76689037",41.00067975,28.76689037
176,PARK,AZERBAYCAN DOSTLUK PARKI,BAĞCILAR,"41.04378607 , 28.85507208",41.04378607,28.85507208
177,PARK,BAĞCILAR TRAFİK EĞİTİM PİSTİ PARKI,BAĞCILAR,"41.05044523 , 28.82309065",41.05044523,28.82309065
178,PARK,BAĞCILAR MERKEZ MAHALLESİ PARKI,BAĞCILAR,"41.03060529 , 28.85797608",41.03060529,28.85797608
179,PARK,ŞEHİT BEKÇİ KANSU TURAN PARKI,BAĞCILAR,"41.05658455 , 28.83527261",41.05658455,28.83527261
180,PARK,BALIKÇI ADASI PARKI,KÜÇÜKÇEKMECE,"40.98892738 , 28.77070481",40.98892738,28.77070481
181,PARK,İSTASYON  MAHALLESİ PARKI,KÜÇÜKÇEKMECE,"41.03144138 , 28.77805381",41.03144138,28.77805381
182,PARK,MENEKŞE DERESİ PARKI,KÜÇÜKÇEKMECE,"41.03955850 , 28.77105899",41.03955850,28.77105899
183,PARK,KÜÇÜKÇEKMECE GÖLAĞZI PARKI,KÜÇÜKÇEKMECE,"40.98066136 , 28.77070302",40.98066136,28.77070302
184,PARK,KÜÇÜKÇEKMECE MENEKŞE PARKI,KÜÇÜKÇEKMECE,"40.98207298 , 28.76177280",40.98207298,28.76177280
185,PARK,KÜÇÜKÇEKMECE SAHİL PARKI,KÜÇÜKÇEKMECE,"40.97992796 , 28.75228186",40.97992796,28.75228186
186,PARK,BAĞCILAR HÜRRİYET MAHALLESİ PAZAR YERİ PARKI,BAĞCILAR,"41.02945608 , 28.83270395",41.02945608,28.83270395
187,PARK,HASANOĞLU DERESİ PARKI,KÜÇÜKÇEKMECE,"41.05683250 , 28.75742158",41.05683250,28.75742158
188,PARK,BAĞCILAR KİRAZLI MAHALLESİ ZEMİNÜSTÜ PARKI,BAĞCILAR,"41.03273441 , 28.83470443",41.03273441,28.83470443
189,PARK,SİLİVRİ BOĞLUCA PARKI,SİLİVRİ,"41.07972317 , 28.25081706",41.07972317,28.25081706
1,PARK,23 NİSAN 100. YIL PARKI (AKBABA PARKI),BEYKOZ,"41.15190355 , 29.11694795",41.15190355,29.11694795
2,PARK,ANADOLU FENERİ PARKI,BEYKOZ,"41.21620888 , 29.15399596",41.21620888,29.15399596
